Carefully he scraped every last vestige of ice - cream from his bowl, then stood up.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADV PRON VERB DET ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN ADV VERB PART
It would be no bad thing if a more subdued housing market made Britons less obsessive about investing every last penny in their homes in the quest for easy returns.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PRON VERB VERB DET ADJ NOUN ADP DET ADV ADJ NOUN NOUN VERB PROPN ADJ NOUN ADP VERB DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN
Hoarse but buoyant, Clinton had roared towards the end of a marathon tour of eight states yesterday pleading for every last vote.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	every last	figurative	identical	ADJ CCONJ ADJ PROPN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP NUM NOUN NOUN VERB ADP DET ADJ NOUN
Saw how he grasped every last detail of it and held that knowledge tight in his memory.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	VERB ADV PRON VERB DET ADJ NOUN ADP PRON CCONJ VERB ADP NOUN ADV ADP ADJ NOUN
If Mr. Millan releases the money, every last penny of it will go to the coalfield areas.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADP PROPN PROPN VERB DET NOUN DET ADJ NOUN ADP PRON VERB VERB ADP DET NOUN NOUN
On one of his recent trips they had frightened him so much that he dropped his food and had to watch helplessly while they devoured every last scrap of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	every last	figurative	identical	ADP NUM ADP ADJ ADJ NOUN PRON VERB VERB PRON ADV ADV ADP PRON VERB ADJ NOUN CCONJ VERB PART VERB ADV ADP PRON VERB DET ADJ NOUN ADP PRON
You go before the Marshal and I 'll deny every last word.	0 0 0 0 0 0 0 0 0 1 1 0	every last	figurative	identical	PRON VERB ADP DET PROPN CCONJ PRON VERB VERB DET ADJ NOUN
‘ It's a shocking situation, and I am spending every single minute of every single day and every last dollar of my father's money to correct this evil.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	every last	figurative	identical	PUNCT PRON DET ADJ NOUN CCONJ PRON VERB VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ NOUN NOUN PART VERB DET NOUN
The mainstream critics ' thankless task ( their privilege ) is only completed when every last cultural product is herded into this universal corral of taste where, to quote Bourdieu once more, ‘ the most classifying privilege has the privilege of appearing to be the most natural one’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	DET NOUN NOUN PART ADJ NOUN PUNCT ADJ NOUN PUNCT VERB ADV VERB ADV DET ADJ ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP NOUN ADV PART VERB PROPN ADV ADV PUNCT DET ADV ADJ NOUN VERB DET NOUN ADP VERB PART VERB DET ADV ADJ NOUN
The FLN won't rest until the French are out ; every last colon .’	0 0 0 0 0 0 0 0 0 0 1 1 0 0	every last	figurative	identical	DET PROPN VERB VERB ADP DET PROPN VERB ADV PUNCT DET ADJ NOUN PUNCT
Once Tam darted a terrified glance over his shoulder and saw Kim sprawled across the writing - table ; white faced and trembling from head to toe, he had his eyes closed and his fists were clenched tight as he summoned up every last ounce of courage in his eleven - year - old body to endure his father's beating without weeping or crying out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADP PROPN VERB DET ADJ NOUN ADP ADJ NOUN CCONJ VERB PROPN VERB ADP DET NOUN PUNCT NOUN PUNCT ADJ VERB CCONJ VERB ADP NOUN ADP NOUN PRON VERB ADJ NOUN ADJ CCONJ ADJ NOUN VERB VERB ADV ADP PRON VERB PART DET ADJ NOUN ADP NOUN ADP ADJ NUM PUNCT NOUN PUNCT ADJ NOUN PART VERB ADJ NOUN NOUN ADP VERB CCONJ VERB PART
Yet on an island where even nature conservationists seem bent on taming every last acre, I think that the time may be ripe for bringing the word — and the kind of land it refers to — back into currency.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every last	figurative	identical	ADV ADP DET NOUN ADV ADV NOUN NOUN VERB ADJ ADP VERB DET ADJ NOUN PRON VERB ADP DET NOUN VERB VERB ADJ ADP VERB DET NOUN PUNCT CCONJ DET NOUN ADP NOUN PRON VERB ADP PUNCT ADV ADP NOUN
