Fowler falls in line on charter.	0 1 1 1 0 0	fall in line	figurative	inflection	NOUN VERB ADP NOUN ADP NOUN
All the female rappers who 've fallen in line with the misogynist myth by calling themselves degrading names like BYTCHES WITH PROBLEMS, OVERWEIGHT POOCH and HOES WIT ' ATTITUDE.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	inflection	ADJ DET ADJ NOUN NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN ADP VERB PRON VERB NOUN ADP PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PUNCT PROPN
Indeed, Anglicans were forced to engage in a propaganda campaign to try to prevent the Whigs and Nonconformists from falling too much in line with government policy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0	fall in line	figurative	combined-inflection	ADV PROPN VERB VERB PART VERB ADP DET NOUN NOUN PART VERB PART VERB DET PROPN CCONJ PROPN ADP VERB ADV ADJ ADP NOUN ADP NOUN NOUN
He seems to have erm fallen in line, doesn't he?	0 0 0 0 0 1 1 1 0 0	fall in line	figurative	inflection	PRON VERB PART VERB ADV VERB ADP NOUN VERB PRON
Their lending rates have not fallen in line with their funding costs ; banks ' margins have widened by about two percentage points since early 1991.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	inflection	ADJ NOUN NOUN VERB ADV VERB ADP NOUN ADP ADJ NOUN NOUN PUNCT NOUN PART NOUN VERB VERB ADP ADV NUM NOUN NOUN ADP ADJ NUM
The Prime Minister, Harri Holkeri, subsequently warned the SMP, the coalition partner of which Vistbacka like his predecessor was a member, to fall in line with the government's policy on refugees.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	fall in line	figurative	identical	DET PROPN PROPN PROPN PROPN ADV VERB DET PROPN DET NOUN NOUN ADP ADJ PROPN ADP ADJ NOUN VERB DET NOUN PART VERB ADP NOUN ADP DET NOUN NOUN ADP NOUN
Although we were in fact exempt from this, our management wisely decided that we should fall in line with the principle of the new regulations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	fall in line	figurative	identical	ADP PRON VERB ADP NOUN ADJ ADP DET ADJ NOUN ADV VERB ADP PRON VERB VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN
This was, for example, undoubtedly the effect of the plebiscites staged in 1933, 1934, 1936, and 1938, in which the massive acclamation, though the product of intense propaganda and coercion and obviously in no sense a true reflection of the state of opinion, nevertheless reflected genuine widespread approval and admiration for Hitler's accomplishments and persuaded waverers to fall in line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	fall in line	figurative	identical	DET VERB ADP NOUN ADV DET NOUN ADP DET NOUN VERB ADP NUM NUM NUM CCONJ NUM ADP ADJ DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN CCONJ ADV ADP DET NOUN DET ADJ NOUN ADP DET NOUN ADP NOUN ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP PROPN NOUN CCONJ VERB NOUN PART VERB ADP NOUN
The question is whether they are going to fall in line uncritically with the dominant interests of the sectors in which they work, or whether they are going to act constructively with a larger view — a view with a grasp of the general public interest.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	identical	DET NOUN VERB ADP PRON VERB VERB PART VERB ADP NOUN ADV ADP DET ADJ NOUN ADP DET NOUN ADP ADJ PRON VERB CCONJ ADP PRON VERB VERB PART VERB ADV ADP DET ADJ NOUN PUNCT DET NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN
With mortgage rates falling in line with base rates, Mr Bootle said headline inflation would drop below 1pc early next year with underlying inflation moving up slightly to around 3pc at the year - end.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall in line	figurative	inflection	ADP NOUN NOUN VERB ADP NOUN ADP NOUN NOUN PROPN PROPN VERB NOUN NOUN VERB VERB ADP NOUN ADV ADJ NOUN ADP ADJ NOUN VERB PART ADV ADP ADP NOUN ADP DET NOUN PUNCT NOUN
Net investment income has shown a very satisfactory advance as interest costs continue to fall in line with reduced borrowing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	fall in line	figurative	identical	ADJ NOUN NOUN VERB VERB DET ADV ADJ NOUN ADP NOUN NOUN VERB PART VERB ADP NOUN ADP VERB NOUN
