‘ Go on, get a move on!’ said Marie.	0 0 0 1 0 1 1 0 0	get a move on	figurative	dashes	PUNCT VERB PART VERB DET NOUN PUNCT VERB PROPN
My brother - in - law began setting up our platform, and I made the mistake of telling him to get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	ADJ NOUN PUNCT ADP PUNCT NOUN VERB VERB PART ADJ NOUN CCONJ PRON VERB DET NOUN ADP VERB PRON PART VERB DET NOUN ADV
‘ And get a move on.	0 0 1 0 1 1	get a move on	figurative	identical	PUNCT CCONJ VERB DET NOUN ADV
Come on Paul get a move on	0 0 0 1 0 1 1	get a move on	figurative	identical	VERB ADP PROPN VERB DET NOUN ADP
personally an and from er and the rest and he, he's gone to this area and he's looked and he, he's seen and he may have interpreted this, or wanted to interpret it so that when his report went back that the, he was saying that we must get a move on to the people in the Party saying that we need to get involved now, we need to be in all these areas, we need to be helping things develop and, and being a part at the front.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	ADV DET CCONJ ADP INTJ CCONJ DET NOUN CCONJ PRON PRON VERB ADP DET NOUN CCONJ PRON VERB CCONJ PRON PRON VERB CCONJ PRON VERB VERB VERB DET CCONJ VERB PART VERB PRON ADP ADP ADV ADJ NOUN VERB ADV ADP DET PRON VERB VERB ADP PRON VERB VERB DET NOUN ADP ADP DET NOUN ADP DET PROPN VERB ADP PRON VERB PART VERB VERB ADV PRON VERB PART VERB ADP ADJ DET NOUN PRON VERB PART VERB VERB NOUN VERB CCONJ CCONJ VERB DET NOUN ADP DET NOUN
‘ Erm — er — I don't see how I 'm going to get all this sweeping done before dinner time, if I don't get a move on!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	dashes	PUNCT NOUN PUNCT INTJ PUNCT PRON VERB VERB ADV PRON VERB VERB PART VERB ADJ DET ADJ VERB ADP NOUN NOUN ADP PRON VERB VERB DET NOUN ADP
Have to get a mo a move on and, oh I must ask her	0 0 1 0 0 0 1 1 0 0 0 0 0 0	get a move on	figurative	insertion-other	VERB PART VERB DET NOUN DET NOUN ADV CCONJ INTJ PRON VERB VERB PRON
He checked his watch again, saying : ‘ Look, I 've got to get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	PRON VERB ADJ NOUN ADV VERB PUNCT PUNCT VERB PRON VERB VERB PART VERB DET NOUN ADV
Dorothy waited patiently and had her moment of triumph when someone went into the back of his car at a traffic light — clearly his fault for not getting a move on quicker.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	get a move on	figurative	inflection	PROPN VERB ADV CCONJ VERB ADJ NOUN ADP NOUN ADV NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN PUNCT ADV ADJ NOUN ADP ADV VERB DET NOUN ADP ADV
We 've also approached Nottingham Evening Post who 've expressed an interest in taking it on, but again we still haven't got a meeting, so I intend ringing them both this week, and stressing that we need to get a move on because really we need an issue out by March.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB ADV VERB PROPN PROPN PROPN NOUN VERB VERB DET NOUN ADP VERB PRON PART CCONJ ADV PRON ADV VERB VERB DET NOUN CCONJ PRON VERB VERB PRON CCONJ DET NOUN CCONJ VERB ADP PRON VERB PART VERB DET NOUN ADV ADP ADV PRON VERB DET NOUN ADP ADP PROPN
I understand it's run into some difficulty but I urge the minister to press the commission to get a move on because this this is a problem that doesn't just affect this country, it is certainly a problem that affects the whole of Europe and the European union in particular but also the the er the whole of the world and it's something that needs international action.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB PRON VERB ADP DET NOUN CCONJ PRON VERB DET NOUN PART VERB DET NOUN PART VERB DET NOUN ADV ADP DET DET VERB DET NOUN ADJ VERB ADV VERB DET NOUN PRON VERB ADV DET NOUN ADJ VERB DET NOUN ADP PROPN CCONJ DET ADJ NOUN ADP ADJ CCONJ ADV DET DET INTJ DET NOUN ADP DET NOUN CCONJ PRON NOUN ADJ VERB ADJ NOUN
In his judgment Lord Denning suggested that if Norwich would ‘ get a move on’ in processing applications to buy there might be no need for the minister to act.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	ADP ADJ NOUN PROPN PROPN VERB ADP ADP PROPN VERB PRON VERB DET NOUN NOUN ADP VERB NOUN PART VERB ADV VERB VERB DET NOUN ADP DET NOUN PART VERB
And she 'd be sitting on the edge of her chair with a smile stitched to her face as she willed the rest of the party to get a move - on so she could go and make sure Camille was home and safe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	CCONJ PRON VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN VERB ADP ADJ NOUN ADP PRON VERB DET NOUN ADP DET NOUN PART VERB DET NOUN PUNCT PART ADP PRON VERB VERB CCONJ VERB ADJ PROPN VERB NOUN CCONJ ADJ
‘ Yes, but we want to get a move on.’	0 0 0 0 0 0 1 0 1 1	get a move on	figurative	dashes	PUNCT INTJ CCONJ PRON VERB PART VERB DET NOUN ADV
‘ But, since it's not only necessary, but vital, get a move on, cariad.	0 0 0 0 0 0 0 0 0 1 0 1 1 0	get a move on	figurative	identical	PUNCT CCONJ ADP PRON ADV ADV ADJ CCONJ ADJ VERB DET NOUN ADV NOUN
Get a move on, girl!	1 0 1 1 0	get a move on	figurative	case	VERB DET NOUN ADP NOUN
If they didn't get a move on, I would miss my gig and lose vital cash — as I hadn't come in my own car, I was stranded.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	ADP PRON VERB VERB DET NOUN ADV PRON VERB VERB ADJ NOUN CCONJ VERB ADJ NOUN PUNCT ADP PRON VERB VERB ADP ADJ ADJ NOUN PRON VERB VERB
And tell her to get a move on!’	0 0 0 0 1 0 1 1	get a move on	figurative	dashes	CCONJ VERB PRON PART VERB DET NOUN ADP
‘ Oh my God, if I don't get a move on I 'm going to be late.’	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	get a move on	figurative	identical	PUNCT INTJ ADJ PROPN ADP PRON VERB VERB DET NOUN ADP PRON VERB VERB PART VERB ADP
You better get a move on!	0 0 1 0 1 1	get a move on	figurative	identical	PRON ADV VERB DET NOUN ADV
Get a move on. '	1 0 1 1 0	get a move on	figurative	case	VERB DET NOUN ADV PUNCT
I 'd better get a move on.	0 0 0 1 0 1 1	get a move on	figurative	identical	PRON VERB ADV VERB DET NOUN ADV
Er, you get ready and yo by quarter to seven the head lad see goes and walks round and he says, oh eh okay, come on, get a move on we wanna be out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	get a move on	figurative	identical	INTJ PRON VERB ADJ CCONJ INTJ ADP NOUN ADP NUM DET NOUN NOUN VERB VERB CCONJ VERB ADV CCONJ PRON VERB INTJ INTJ INTJ VERB PART VERB DET NOUN ADP PRON ADV VERB ADV
‘ Breakfast in twenty minutes, get a move on,’ said Warder Swain, slamming the door shut behind Robinson and Porter.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	PUNCT NOUN ADP NUM NOUN VERB DET NOUN ADV VERB PROPN PROPN VERB DET NOUN VERB ADP PROPN CCONJ PROPN
Yeah, anyway, she she's told to get a move on.	0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	INTJ INTJ PRON PRON VERB PART VERB DET NOUN ADV
‘ Would you tell everyone to get a move on?’ she asked a startled nurse.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	get a move on	figurative	dashes	PUNCT VERB PRON VERB NOUN PART VERB DET NOUN NOUN PRON VERB DET ADJ NOUN
If we get a move on,’ he said pointedly.	0 0 1 0 1 1 0 0 0	get a move on	figurative	dashes	ADP PRON VERB DET NOUN ADV PRON VERB ADV
‘ If you 're still planning to come with me, you 'd better get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	PUNCT ADP PRON VERB ADV VERB PART VERB ADP PRON PRON VERB ADV VERB DET NOUN ADV
For her the slow, wide - winged beating across the waves of morning said it was time to run to the rocks and tug in the lines and get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	ADP PRON DET ADJ ADV PUNCT VERB NOUN ADP DET NOUN ADP NOUN VERB PRON VERB NOUN PART VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN CCONJ VERB DET NOUN ADV
‘ Well, tell ' i m ter get a move on, luv.	0 0 0 0 0 0 0 1 0 1 1 0	get a move on	figurative	identical	PUNCT INTJ VERB PUNCT PRON VERB NOUN VERB DET NOUN ADV INTJ
If we didn't get a move on there wouldn't be a route left to do!	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	get a move on	figurative	identical	ADP PRON VERB VERB DET NOUN ADP ADV VERB VERB DET NOUN VERB PART VERB
Now get a move on.	0 1 0 1 1	get a move on	figurative	identical	ADV VERB DET NOUN ADV
Cos then we sort of, turn out, get a finger out and get a move on!	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	NOUN ADV PRON ADV ADV VERB PART VERB DET NOUN PART CCONJ VERB DET NOUN ADV
He pulled up his coat - collar and edged closer to the door, muttering impatiently, ' Get a move on, can't you? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	get a move on	figurative	case	PRON VERB PART ADJ NOUN PUNCT NOUN CCONJ VERB ADV ADP DET NOUN VERB ADV PUNCT VERB DET NOUN ADV VERB PRON PUNCT
Come on get a move on	0 0 1 0 1 1	get a move on	figurative	identical	VERB PART VERB DET NOUN ADP
‘ Just get a move on,’ Angelica said, ‘ so we can use the table.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	get a move on	figurative	dashes	PUNCT ADV VERB DET NOUN ADP PROPN VERB PUNCT ADV PRON VERB VERB DET NOUN
A fucking pin to kill you, but he wished, this tumbling day, Winnie in the room, that she would get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	DET ADJ NOUN PART VERB PRON CCONJ PRON VERB DET VERB NOUN PROPN ADP DET NOUN ADP PRON VERB VERB DET NOUN ADV
I was just saying get a move on cos we 've got to go to Paul's	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB ADV VERB VERB DET NOUN ADP ADP PRON VERB VERB PART VERB ADP PROPN
Senior commission officials say that it is up to national governments to get a move on.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	identical	ADJ NOUN NOUN VERB ADP PRON VERB ADP ADP ADJ NOUN PART VERB DET NOUN ADV
She 'd get a move on once she was up from the harbour.	0 0 1 0 1 1 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB VERB DET NOUN ADV ADP PRON VERB ADV ADP DET NOUN
Let's get a move on!’	0 1 0 1 1	get a move on	figurative	dashes	VERB VERB DET NOUN ADP
She would be late, even if she stopped dawdling and got a move on.	0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	inflection	PRON VERB VERB ADJ ADV ADP PRON VERB VERB CCONJ VERB DET NOUN ADV
She had better get a move on, she realised.	0 0 0 1 0 1 1 0 0	get a move on	figurative	identical	PRON VERB ADV VERB DET NOUN ADV PRON VERB
Get a move on, if you 're going. '	1 0 1 1 0 0 0 0 0	get a move on	figurative	case	VERB DET NOUN ADV ADP PRON VERB VERB PUNCT
‘ And get a move on.’	0 0 1 0 1 1	get a move on	figurative	dashes	PUNCT CCONJ VERB DET NOUN ADV
‘ Hurry up,’ she said, as if the church service would be over all the quicker if Maxie got a move on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	get a move on	figurative	inflection	PUNCT VERB PROPN PRON VERB ADP ADP DET NOUN NOUN VERB VERB ADP ADJ DET ADV ADP PROPN VERB DET NOUN ADV
‘ Well,’ he heard his mum saying, ‘ you two had better get a move on, or Hamish and Antonia will beat you to it.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PUNCT ADP PRON VERB ADJ ADJ NOUN PUNCT PRON NUM VERB ADJ VERB DET NOUN ADV CCONJ PROPN CCONJ PROPN VERB VERB PRON ADP VERB
He 'd better get a move on.	0 0 0 1 0 1 1	get a move on	figurative	identical	PRON VERB ADV VERB DET NOUN ADV
Right, next one is poison must get a move on cos we 're running a bit late so as we 're going to poisons later I 'll just go on to say here that there's four ways poisons can get into the body.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	INTJ ADJ NUM VERB NOUN VERB VERB DET NOUN ADP ADP PRON VERB VERB DET NOUN ADJ ADP ADP PRON VERB VERB ADP NOUN ADV PRON VERB ADV VERB PART PART VERB ADV ADP ADV NUM NOUN NOUN VERB VERB ADP DET NOUN
She had to get a move on if she was going to make it to the city before noon.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	get a move on	figurative	identical	PRON VERB PART VERB DET NOUN ADP ADP PRON VERB VERB PART VERB PRON ADP DET NOUN ADP NOUN
‘ Come on, you two, get a move on or you 'll be late.’	0 0 0 0 0 1 0 1 1 0 0 0 0 0	get a move on	figurative	identical	PUNCT VERB PART PRON NUM VERB DET NOUN ADV CCONJ PRON VERB VERB ADP
