To my mind we 've gone overboard on fitness.	0 0 0 0 0 1 1 0 0	go overboard	figurative	inflection	ADP ADJ NOUN PRON VERB VERB ADV ADP NOUN
Don't go overboard with it, or your owner won't thank you.	0 1 1 0 0 0 0 0 0 0 0	go overboard	figurative	identical	VERB VERB ADV ADP PRON CCONJ ADJ NOUN VERB VERB PRON
Yes I know I 'm going overboard but I was impressed.	0 0 0 0 0 1 1 0 0 0 0	go overboard	figurative	inflection	INTJ PRON VERB PRON VERB VERB ADV CCONJ PRON VERB ADJ
But Hugh Dykes, MP for Harrow East, said : ‘ I hope politicians will not go overboard and seek to bring in tough laws to curb the press.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	identical	CCONJ PROPN PROPN PROPN ADP PROPN PROPN VERB PUNCT PUNCT PRON VERB NOUN VERB ADV VERB ADV CCONJ VERB PART VERB PART ADJ NOUN PART VERB DET NOUN
It went overboard into the sea. "	0 1 1 0 0 0 0	go overboard	literal	inflection	PRON VERB ADV ADP DET NOUN PUNCT
Lee Morris, of Newbiggin, went overboard at about 3:50am some three miles east of Whitley Bay while the vessel Boy Peter, on which he was a crew member, was putting out nets.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	literal	inflection	PROPN PROPN ADP PROPN VERB ADV ADP ADP NOUN DET NUM NOUN ADV ADP PROPN PROPN ADP DET NOUN PROPN PROPN ADP ADJ PRON VERB DET NOUN NOUN VERB VERB PART NOUN
yeah, something really, no don't go overboard	0 0 0 0 0 1 1	go overboard	figurative	identical	INTJ NOUN ADV INTJ VERB VERB ADV
Gifford had gone overboard a bit in the blues though …	0 0 1 1 0 0 0 0 0 0 0	go overboard	figurative	inflection	PROPN VERB VERB ADV DET NOUN ADP DET NOUN ADV PUNCT
On the other hand, talk to him about a book — like one that Gordon Jackson lent him — and he would go overboard about it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	go overboard	figurative	identical	ADP DET ADJ NOUN VERB ADP PRON ADP DET NOUN PUNCT ADP NUM ADJ PROPN PROPN VERB PRON PUNCT CCONJ PRON VERB VERB ADV ADP NOUN
But I am not going to go overboard — I expect us to beat them. '	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	go overboard	figurative	identical	CCONJ PRON VERB ADV VERB PART VERB ADV PUNCT PRON VERB PRON PART VERB PRON PUNCT
Hunched in a remote and subordinate cranny of government — devising a rent bill at the Ministry of Housing and Local Government, as a matter of fact — I was not disposed to go overboard when our armed forces were launched into the attack in November ; but what on earth was intended to come out of it and how an occupation found untenable could be tenably restored and sustained by force was beyond the comprehension of this unmoved spectator.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	identical	VERB ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT VERB DET NOUN NOUN ADP DET PROPN ADP PROPN CCONJ ADJ PROPN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV VERB PART VERB ADV ADV ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN PUNCT CCONJ NOUN ADP NOUN VERB VERB PART VERB ADP ADP PRON CCONJ ADV DET NOUN VERB ADJ VERB VERB ADV VERB CCONJ VERB ADP NOUN VERB ADP DET NOUN ADP DET ADJ NOUN
Maybe I went overboard.	0 0 1 1	go overboard	figurative	inflection	ADV PRON VERB ADV
