Christ, he was going round in circles.	0 0 0 1 1 1 1	go round in circles	figurative	inflection	PROPN PRON VERB VERB ADV ADP NOUN
We haven't quite got the hang of it, square houses and straight roads, with our little round huts and coracles we can only go round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	identical	PRON VERB ADV VERB DET NOUN ADP PRON ADJ NOUN CCONJ ADJ NOUN ADP ADJ ADJ ADJ NOUN CCONJ NOUN PRON VERB ADV VERB ADV ADP NOUN
press for action to make sure people don't waste time or go round in circles	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	identical	NOUN ADP NOUN PART VERB ADJ NOUN VERB VERB NOUN CCONJ VERB ADV ADP NOUN
We debated hopelessly, going round in ever decreasing circles : the Alps too crowded, the Himalaya too frightening.	0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0	go round in circles	figurative	combined-inflection	PRON VERB ADV VERB ADV ADP ADV VERB NOUN PUNCT DET PROPN ADV VERB DET PROPN ADV ADJ
stop going round in circles	0 1 1 1 1	go round in circles	figurative	inflection	VERB VERB ADV ADP NOUN
Meetings are infamous for getting stuck and going round in circles.	0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	inflection	NOUN VERB ADJ ADP VERB ADJ CCONJ VERB ADV ADP NOUN
I 'm going round in circles here, I know, that's why I bought the refill for, that's what I 'm saying I don't know what the other one is,	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB VERB ADV ADP NOUN ADV PRON VERB DET ADV PRON VERB DET NOUN ADP DET NOUN PRON VERB VERB PRON VERB VERB NOUN DET ADJ NOUN VERB
So the numbers go round in a circle one, two, three, four, five, six, buzz, eight, nine, ten, eleven, twelve, thirteen, buzz, fifteen, sixteen, buzz, eighteen, nineteen, twenty, buzz, twenty two, twenty three, twenty four, twenty five, twenty six, buzz, buzz, twenty nine, thirty.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	literal	combined-inflection	ADV DET NOUN VERB ADV ADP DET NOUN NUM NUM NUM NUM NUM NUM NOUN NUM NUM NUM NUM NUM NUM NOUN NUM NUM NOUN NUM NUM NUM NOUN NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NOUN NOUN NUM NUM NUM
‘ I was going to say if we carve notches on the Trees, at least we shan't go round in circles,’ said Floy, grinning.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	go round in circles	figurative	dashes	PUNCT PRON VERB VERB PART VERB ADP PRON VERB NOUN ADP DET PROPN ADP ADJ PRON VERB VERB ADV ADP NOUN VERB PROPN VERB
Well it does go round in circles they see don't they?	0 0 0 1 1 1 1 0 0 0 0	go round in circles	figurative	identical	INTJ PRON VERB VERB ADV ADP NOUN PRON VERB VERB PRON
Then, exasperated by her own confusion, and the fact that they seemed to be going round in circles, Ellie demanded, ‘ Feargal, just tell me what it is you want to know — what, in fact, we 're supposed to be talking about!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	ADV VERB ADP ADJ ADJ NOUN CCONJ DET NOUN ADP PRON VERB PART VERB VERB ADV ADP NOUN PROPN VERB PUNCT PROPN ADV VERB PRON NOUN PRON VERB PRON VERB PART VERB PUNCT NOUN ADP NOUN PRON VERB VERB PART VERB VERB ADP
Now she was not orientated at all and for all she knew she could have been going round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	inflection	ADV PRON VERB ADV VERB ADV ADV CCONJ ADP DET PRON VERB PRON VERB VERB VERB VERB ADV ADP NOUN
Oh Christ, there he was going round in a circle again.	0 0 0 0 0 1 1 1 0 1 0	go round in circles	figurative	combined-inflection	INTJ PROPN ADV PRON VERB VERB ADV ADP DET NOUN ADV
behavioural problems such as getting side - tracked, going round in circles, people hogging it	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	go round in circles	figurative	inflection	ADJ NOUN ADJ ADP VERB NOUN PUNCT VERB VERB ADV ADP NOUN NOUN VERB PRON
going round in circles	1 1 1 1	go round in circles	figurative	inflection	VERB ADV ADP NOUN
It is easy to see, therefore, how going round in circles is not a vicious circle, but a circle nonetheless.	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB ADJ PART VERB ADV ADV VERB ADV ADP NOUN VERB ADV DET ADJ NOUN CCONJ DET NOUN ADV
The District Council's argument is in danger of going round in a circle.	0 0 0 0 0 0 0 0 1 1 1 0 1	go round in circles	figurative	combined-inflection	DET PROPN PROPN NOUN VERB ADP NOUN ADP VERB ADV ADP DET NOUN
An explorer who does not compile maps as he or she proceeds is likely to end up going round in circles ; likewise, a society that does not know where it has come from in the past has no chance of knowing where it is going in the future.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	DET NOUN NOUN VERB ADV VERB NOUN ADP PRON CCONJ PRON VERB VERB ADJ PART VERB PART VERB ADV ADP NOUN PUNCT ADV DET NOUN ADJ VERB ADV VERB ADV PRON VERB VERB ADP ADP DET NOUN VERB DET NOUN ADP VERB ADV PRON VERB VERB ADP DET NOUN
He says that he's fed up of going round in circles — how can he make a fresh start when he can't get a grant for clothing, and so can't then tunr up for job interviews?	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB ADP PRON VERB PART ADP VERB ADV ADP NOUN PUNCT ADV VERB PRON VERB DET ADJ NOUN ADV PRON VERB VERB DET NOUN ADP NOUN CCONJ ADV VERB ADV VERB PART ADP NOUN NOUN
We have been arguing the point with the inspector at claims branch for many many months and we just seem to go round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	identical	PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP NOUN NOUN ADP ADJ ADJ NOUN CCONJ PRON ADV VERB PART VERB ADV ADP NOUN
you can get th I 've seen people spend sort of quite a few minutes going round in circles and give up on that when they 're nearly at the answer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB VERB INTJ PRON VERB VERB NOUN VERB ADV ADV ADJ DET ADJ NOUN VERB ADV ADP NOUN CCONJ VERB PART ADP DET ADV PRON VERB ADV ADP DET NOUN
I was going round in circles because it's a very small world — pimps and prostitutes.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB VERB ADV ADP NOUN ADP PRON DET ADV ADJ NOUN PUNCT NOUN CCONJ NOUN
And also, but half the time it's the problem arises because it's, the machines gone to personnel without something, and then we 've got to spend time either chasing it up or getting another bit or going round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	inflection	CCONJ ADV CCONJ ADJ DET NOUN PRON DET NOUN VERB ADP PRON DET NOUN VERB ADP NOUN ADP NOUN CCONJ ADV PRON VERB VERB PART VERB NOUN CCONJ VERB PRON PART CCONJ VERB DET NOUN CCONJ VERB ADV ADP NOUN
For I appear to be going round in circles in answer to a question which has been worrying me for some time.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	ADP PRON VERB PART VERB VERB ADV ADP NOUN ADP NOUN ADP DET NOUN ADJ VERB VERB VERB PRON ADP DET NOUN
