And up to now, you 've had to quit or grin and bear it.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	CCONJ ADP ADP ADV PRON VERB VERB PART VERB CCONJ VERB CCONJ VERB PRON
There was no alternative but to grin and bear it.	0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	ADV VERB DET NOUN CCONJ PART VERB CCONJ VERB PRON
Blonde Joanne had to grin and bear it when actor boyfriend Tony Scannell, who stars as Ted in The Bill, whooped it up on one of his fun nights at Stringfellows in London.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	PROPN PROPN VERB PART VERB CCONJ VERB PRON ADV NOUN NOUN PROPN PROPN NOUN VERB ADP PROPN ADP DET PROPN VERB PRON PART ADP NUM ADP ADJ ADJ NOUN ADP NOUN ADP PROPN
I think the few of us on this list who have our reservations about Sgt Wilko are going to have to ‘ grin and bear it’, because in my opinion he's going nowhere.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	grin and bear it	figurative	dashes	PRON VERB DET ADJ ADP PRON ADP DET NOUN NOUN VERB ADJ NOUN ADP PROPN NOUN VERB VERB PART VERB PART PUNCT NOUN CCONJ VERB NOUN ADP ADP ADJ NOUN PRON VERB ADV
Well we 've, we just have to er, grin and bear it.	0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	INTJ PRON VERB PRON ADV VERB PART INTJ VERB CCONJ VERB PRON
The vast majority of officers learned to grin and bear it.	0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	DET ADJ NOUN ADP NOUN VERB PART VERB CCONJ VERB PRON
Oh it is now yes, you 've got, I mean you 've got the service now haven't you and erm, but I like at St Margaret's hospital I 'd been, I had been, I went in there to have my last boy, but they 're very, very good there they were, I 've not been in, I 've been in, I 've had treatment here for my hip and that up at Harlow but they wouldn't do the operation because of my blood clotting you see, so therefore I 've got to grin and bear it, I 've had eight years of it, I couldn't walk for six months, but now I struggle and get around as I say with a couple of sticks I get round	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	INTJ PRON VERB ADV INTJ PRON VERB VERB PRON VERB PRON VERB VERB DET NOUN ADV VERB PRON CCONJ INTJ CCONJ PRON VERB ADP PROPN PROPN NOUN PRON VERB VERB PRON VERB VERB PRON VERB ADV ADV PART VERB ADJ ADJ NOUN CCONJ PRON VERB ADV ADV ADJ ADV PRON VERB PRON VERB ADV VERB ADV PRON VERB VERB ADV PRON VERB VERB NOUN ADV ADP ADJ NOUN CCONJ DET PART ADP PROPN CCONJ PRON VERB VERB DET NOUN ADP ADP ADJ NOUN NOUN PRON VERB ADV ADV PRON VERB VERB PART VERB CCONJ VERB PRON PRON VERB VERB NUM NOUN ADP PRON PRON VERB VERB ADP NUM NOUN CCONJ ADV PRON VERB CCONJ VERB PART ADP PRON VERB ADP DET NOUN ADP NOUN PRON VERB ADJ
Grin and bear it with Gazza	1 1 1 1 0 0	grin and bear it	figurative	case	VERB CCONJ VERB PRON ADP PROPN
But she was not on the tour, so I had to grin and bear it.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	CCONJ PRON VERB ADV ADP DET NOUN CCONJ PRON VERB PART VERB CCONJ VERB PRON
In the same way I was unable to do much else but grin and bear it when my then assistant chief constable ( crime ), Ken Oxford ( later to be the chief constable of Merseyside ) implicitly restated police concepts of correct bodily order, when he jokingly told a group of visiting journalists who had come to do a story on this wayward group of detectives, ‘ we pay him a plain clothes allowance you know’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	ADP DET ADJ NOUN PRON VERB ADJ PART VERB ADJ ADV CCONJ VERB CCONJ VERB PRON ADV ADJ ADV ADJ ADJ NOUN PUNCT NOUN PUNCT PROPN PROPN PUNCT ADV PART VERB DET ADJ NOUN ADP PROPN PUNCT ADV VERB NOUN NOUN ADP ADJ ADJ NOUN ADV PRON ADV VERB DET NOUN ADP VERB NOUN NOUN VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB PRON DET ADJ NOUN VERB PRON VERB
I grin and bear it	0 1 1 1 1	grin and bear it	figurative	identical	PRON VERB CCONJ VERB PRON
That evening Clive could only grin and bear it, but when I told him I wouldn't be able to do the second summer course he was distinctly cool.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	DET NOUN PROPN VERB ADV VERB CCONJ VERB PRON CCONJ ADV PRON VERB PRON PRON VERB VERB ADJ PART VERB DET ADJ NOUN NOUN PRON VERB ADV ADJ
You 'll just have to grin and bear it while she's here.	0 0 0 0 0 1 1 1 1 0 0 0	grin and bear it	figurative	identical	PRON VERB ADV VERB PART VERB CCONJ VERB PRON ADP PRON ADV
Is Paul saying, now you are a Christian, you may be in a dead - end job, but you 'd better grin and bear it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	VERB PROPN VERB ADV PRON VERB DET PROPN PRON VERB VERB ADP DET ADJ PUNCT NOUN NOUN CCONJ PRON VERB ADV VERB CCONJ VERB PRON
Grin and bear it!	1 1 1 1	grin and bear it	figurative	case	VERB CCONJ VERB PRON
Abu Salim decided that a third day wasn't necessary so I had to grin and bear it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	PROPN PROPN VERB ADP DET ADJ NOUN VERB ADJ ADV PRON VERB PART VERB CCONJ VERB PRON
He 'll grin and bear it.	0 0 1 1 1 1	grin and bear it	figurative	identical	PRON VERB VERB CCONJ VERB PRON
By the end all you can do is grin and bear it	0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	ADP DET NOUN DET PRON VERB VERB VERB VERB CCONJ VERB PRON
We just have to grin and bear it.	0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	PRON ADV VERB PART VERB CCONJ VERB PRON
And it wasn't a sort of ‘ grin and bear it’ kind of happiness.	0 0 0 0 0 0 0 1 1 1 1 0 0 0	grin and bear it	figurative	dashes	CCONJ PRON VERB DET NOUN ADP PUNCT NOUN CCONJ VERB ADJ NOUN ADP NOUN
I just had to grin and bear it.	0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	PRON ADV VERB PART VERB CCONJ VERB PRON
