God worked hand in glove with the men who put apartheid in place.	0 0 1 1 1 0 0 0 0 0 0 0 0	hand in glove	figurative	identical	PROPN VERB NOUN PART NOUN ADP DET NOUN NOUN VERB NOUN ADP NOUN
Oil companies insist that exploitation can go hand - in - glove with caring for the environment, and have begun an intensive lobbying campaign to support the bill.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	dashes	NOUN NOUN VERB ADP NOUN VERB VERB NOUN PUNCT ADP PUNCT NOUN ADP VERB ADP DET NOUN CCONJ VERB VERB DET ADJ NOUN NOUN PART VERB DET NOUN
Some British officials Muhammad Reza a weak Playboy " hand in glove with the German Legation ".	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	hand in glove	figurative	identical	DET ADJ NOUN PROPN VERB DET ADJ PROPN PUNCT NOUN PART NOUN ADP DET ADJ NOUN PUNCT
The dream that two ‘ half - a - persons’ can make a whole, fit ‘ hand in glove’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hand in glove	figurative	dashes	DET NOUN ADP NUM NUM ADJ PUNCT DET PUNCT NOUN VERB VERB DET ADJ VERB PUNCT NOUN ADP NOUN
Most of the councillors seem to be hand in glove with each other ; you can't make any one of them speak to you, let alone give an interview.’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	identical	ADJ ADP DET NOUN VERB PART VERB NOUN PART NOUN ADP DET ADJ PUNCT PRON VERB VERB DET NUM ADP PRON VERB ADP PRON VERB ADV VERB DET NOUN
Their hand - in - glove co - operation has destroyed the final pretence of army neutrality in eastern Bosnia.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	dashes	ADJ NOUN PUNCT ADP PUNCT NOUN NOUN PUNCT NOUN VERB VERB DET ADJ NOUN ADP NOUN NOUN ADP ADJ PROPN
Biff's whole right arm was encased in a flexible sleeve of slim sensor - studded steel hoops embedded in flexiplast, and his hand in a glove of the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	hand in glove	literal	insertion-determiner	PROPN ADJ ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP ADJ NOUN PUNCT VERB NOUN NOUN VERB ADP NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET ADJ
As I identified a minute or two ago, our approach to computerizing accounting applications fits hand in glove with the concept of relational database.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	hand in glove	figurative	identical	ADP PRON VERB DET NOUN CCONJ NUM ADV ADJ NOUN ADP VERB NOUN NOUN VERB NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN
Was he worried that she 'd finally found her proof that he was hand in glove with Harry Martin?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	hand in glove	figurative	identical	VERB PRON ADJ ADP PRON VERB ADV VERB ADJ NOUN ADP PRON VERB NOUN PART NOUN ADP PROPN PROPN
Pacepa argued that Ceauşescu was hand - in - glove with Brezhnev and that the split between Romania and the Soviet Union was a deception agreed by both parties to cheat the West.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	dashes	PROPN VERB ADP PROPN VERB NOUN PUNCT ADP PUNCT NOUN ADP PROPN CCONJ ADP DET NOUN ADP PROPN CCONJ DET PROPN PROPN VERB DET NOUN VERB ADP DET NOUN PART VERB DET PROPN
But the LDP worked hand in glove with Japan ’s deeply entrenched bureaucracy, of which the prosecutors are a part.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	identical	CCONJ DET PROPN VERB NOUN ADP NOUN ADP PROPN PROPN ADV ADJ NOUN ADP ADJ DET NOUN VERB DET NOUN
But again people will say, don't go hand in glove everywhere with one another	0 0 0 0 0 0 0 1 1 1 0 0 0 0	hand in glove	figurative	identical	CCONJ ADV NOUN VERB VERB VERB VERB NOUN ADP NOUN ADV ADP NUM DET
She did the bending and the kneeling, and they worked together hand in glove.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	hand in glove	figurative	identical	PRON VERB DET NOUN CCONJ DET NOUN CCONJ PRON VERB ADV VERB PART NOUN
