Holding a rolling pin and determined to have the last laugh.	0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	identical	VERB DET ADJ NOUN CCONJ VERB PART VERB DET ADJ NOUN
Looking out over the Brussels skyline, it occurs to me that Carter may well not have that many more opportunities to have the last laugh on a scale like this.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	have the last laugh	figurative	identical	VERB PART ADP DET PROPN NOUN PRON VERB ADP PRON ADP PROPN VERB ADV ADV VERB ADV ADJ ADJ NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP DET
Charlie has last laugh on Sir Dickie	0 1 1 1 0 0 0	have the last laugh	figurative	combined-inflection	PROPN VERB ADJ NOUN ADP PROPN PROPN
But I 've had the last laugh.	0 0 0 1 0 1 1	have the last laugh	figurative	inflection	CCONJ PRON VERB VERB DET ADJ NOUN
Thankfully we had the last laugh when that french fellow ( I can't remember his name ) scored the winner.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	ADV PRON VERB DET ADJ NOUN ADV ADP ADJ NOUN PUNCT PRON VERB VERB ADJ NOUN PUNCT VERB DET NOUN
DON'T scoff at Skodas, they 're having the last laugh.	0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	VERB NOUN ADP PROPN PRON VERB VERB DET ADJ NOUN
The trouble was, neither of us had been here before and Holyhead Mountain in the gathering gloom emphatically had the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	DET NOUN VERB DET ADP PRON VERB VERB ADV ADV CCONJ PROPN PROPN ADP DET NOUN NOUN ADV VERB DET ADJ NOUN
Pool had the last laugh in the FA Cup a few weeks later.	0 1 0 1 1 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	NOUN VERB DET ADJ NOUN ADP DET PROPN PROPN DET ADJ NOUN ADV
Feminist humour is astutely observed by Jackie Fleming in Never Give Up ( Penguin, £ 4.99 ), where women always have the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	identical	ADJ NOUN VERB ADV VERB ADP PROPN PROPN ADP ADV VERB PART PUNCT PROPN SYM NUM PUNCT ADV NOUN ADV VERB DET ADJ NOUN
Smith has last laugh	0 1 1 1	have the last laugh	figurative	combined-inflection	PROPN VERB ADJ NOUN
‘ You may think you 've won, but I 'll have the last laugh.	0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	identical	PUNCT PRON VERB VERB PRON VERB VERB CCONJ PRON VERB VERB DET ADJ NOUN
Janet added : ‘ My husband had a wicked sense of humour and had to have the last laugh in life and death.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	have the last laugh	figurative	identical	PROPN VERB PUNCT PUNCT ADJ NOUN VERB DET ADJ NOUN ADP NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN CCONJ NOUN
Boy did he have the last laugh.	0 0 0 1 0 1 1	have the last laugh	figurative	identical	INTJ VERB PRON VERB DET ADJ NOUN
Quite apart from its technical ingenuity, its wily thematic evolutions and transformations, I love its eccentricity : only Bernstein could have ‘ tuned in’ to Plato's timeless dinner party and still had the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	ADV ADV ADP ADJ ADJ NOUN ADJ ADJ ADJ NOUN CCONJ NOUN PRON VERB ADJ NOUN PUNCT ADV PROPN VERB VERB PUNCT VERB NOUN ADP PROPN NOUN NOUN NOUN CCONJ ADV VERB DET ADJ NOUN
Hero Freeman has last laugh	0 0 1 1 1	have the last laugh	figurative	combined-inflection	PROPN PROPN VERB ADJ NOUN
He does not mind being the butt of his colleagues ' jokes because he always has the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	PRON VERB ADV VERB VERB DET NOUN ADP ADJ NOUN PART NOUN ADP PRON ADV VERB DET ADJ NOUN
We thought we 'd had the last laugh when we got to the play - off finals against Charlton but he was an even bigger pain in the arse after that.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	PRON VERB PRON VERB VERB DET ADJ NOUN ADV PRON VERB ADP DET NOUN PUNCT PART NOUN ADP PROPN CCONJ PRON VERB DET ADV ADJ NOUN ADP DET NOUN ADP DET
Well, who was it who had the last laugh now?	0 0 0 0 0 1 0 1 1 0	have the last laugh	figurative	inflection	INTJ NOUN VERB PRON NOUN VERB DET ADJ NOUN ADV
But the old soldier had the last laugh.	0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	CCONJ DET ADJ NOUN VERB DET ADJ NOUN
Laughed at when his US promoter described him as ‘ the new Marvin Hagler’ ; now having the last laugh back home in Ilford	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	have the last laugh	figurative	inflection	VERB ADP ADV ADJ PROPN NOUN VERB PRON ADP PUNCT DET ADJ PROPN NOUN PUNCT ADV VERB DET ADJ NOUN ADV ADV ADP PROPN
But he had the last laugh — the Blades dumped Manchester United 2–1 on the opening day!	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	CCONJ PRON VERB DET ADJ NOUN PUNCT DET PROPN VERB PROPN PROPN NUM ADP DET NOUN NOUN
Simon Wigg says that everybody was laughing at him because the bike looked so different but he had the last laugh … won the title and that's what it's all about …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	PROPN PROPN VERB ADP NOUN VERB VERB ADP PRON ADP DET NOUN VERB ADV ADJ CCONJ PRON VERB DET ADJ NOUN PUNCT VERB DET NOUN CCONJ DET NOUN PRON ADV ADP PUNCT
Rice is, however, having the last laugh.	0 0 0 1 0 1 1	have the last laugh	figurative	inflection	PROPN VERB ADV VERB DET ADJ NOUN
CROONER Des O'Connor is expecting to have the last laugh on his critics by soaring to the top of the Christmas hit parade.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	have the last laugh	figurative	identical	PROPN PROPN PROPN VERB VERB PART VERB DET ADJ NOUN ADP ADJ NOUN ADP VERB ADP DET NOUN ADP DET PROPN VERB NOUN
Palmer has last laugh	0 1 1 1	have the last laugh	figurative	combined-inflection	PROPN VERB ADJ NOUN
