More choice at your fingertips …	0 0 1 1 1 0	at your fingertips	figurative	identical	ADJ NOUN ADP ADJ NOUN PUNCT
You should have at your fingertips some basic methods of handling conflict in meetings since it is almost inevitable and occasionally healthy.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at your fingertips	figurative	identical	PRON VERB VERB ADP ADJ NOUN DET ADJ NOUN ADP VERB NOUN ADP NOUN ADP PRON VERB ADV ADJ CCONJ ADV ADJ
I know this is a very foodie ( and fattening! ) time of year, but Moyra Fraser, our Cookery Editor, and the rest of the GHI team have taken enormous care to see that you have a marvellous variety of recipes for festive entertaining at your fingertips.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	PRON VERB DET VERB DET ADV ADJ PUNCT CCONJ NOUN PUNCT NOUN ADP NOUN CCONJ PROPN PROPN ADJ PROPN PROPN CCONJ DET NOUN ADP DET PROPN NOUN VERB VERB ADJ NOUN PART VERB ADP PRON VERB DET ADJ NOUN ADP NOUN ADP NOUN ADJ ADP ADJ NOUN
Today, if you have an Internet connection, you have at your fingertips an amount of information previously available only to those with access to the world ’s greatest libraries – indeed, in most respects what is available through the Internet dwarfs those libraries, and it is incomparably easier to find what you need.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at your fingertips	figurative	identical	NOUN ADP PRON VERB DET NOUN NOUN PRON VERB ADP ADJ NOUN DET NOUN ADP NOUN ADV ADJ ADV ADP DET ADP NOUN ADP DET NOUN PART ADJ NOUN PUNCT ADV ADP ADJ NOUN NOUN VERB ADJ ADP DET NOUN VERB DET NOUN CCONJ PRON VERB ADV ADJ PART VERB NOUN PRON VERB
‘ The circuitry is faithful to the original GT120, and while it's rudimentary by today's standards, that doesn't detract from the virtually limitless range of good valve sounds it places at your fingertips.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	dashes	PUNCT DET NOUN VERB ADJ ADP DET ADJ NOUN CCONJ ADP PRON ADJ ADP NOUN NOUN ADJ VERB VERB ADP DET ADV ADJ NOUN ADP ADJ NOUN VERB PRON VERB ADP ADJ NOUN
Using the latest in audio visual technology, the wonders of these six fascinating ‘ worlds’ are at your fingertips.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	VERB DET ADJ ADP ADJ ADJ NOUN DET NOUN ADP DET NUM VERB PRON NOUN VERB ADP ADJ NOUN
PAGES 6 & 7 More choice at your fingertips	0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	PROPN NUM CCONJ NUM ADJ NOUN ADP ADJ NOUN
It's easy shopping at your fingertips!	0 0 0 1 1 1	at your fingertips	figurative	identical	PRON ADJ NOUN ADP ADJ NOUN
References at your fingertips	0 1 1 1	at your fingertips	figurative	identical	NOUN ADP ADJ NOUN
Anything you want to know, it 'll be there at your fingertips.	0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	NOUN PRON VERB PART VERB PRON VERB VERB ADV ADP ADJ NOUN
Wealth of information at your fingertips	0 0 0 1 1 1	at your fingertips	figurative	identical	NOUN ADP NOUN ADP ADJ NOUN
I just thought the more facts you 've got at your fingertips the more easy it is to persuade people.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	at your fingertips	figurative	identical	PRON ADV VERB DET ADJ NOUN PRON VERB VERB ADP ADJ NOUN DET ADV ADJ PRON VERB PART VERB NOUN
AT CRAIGENDARROCH, THE MANY SPLENDOURS OF THE HIGHLANDS ARE AT YOUR FINGERTIPS.	0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	case	ADP PROPN DET ADJ NOUN ADP DET NOUN VERB ADP ADJ NOUN
Ulcer diagnosis at your fingertips	0 0 1 1 1	at your fingertips	figurative	identical	PROPN NOUN ADP ADJ NOUN
Accordingly, it is envisaged that in the emerging society information technology will be all - pervasive and the technology will bring a world of information ‘ at your fingertips’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	dashes	ADV PRON VERB VERB ADP ADP DET VERB NOUN NOUN NOUN VERB VERB ADV PUNCT ADJ CCONJ DET NOUN VERB VERB DET NOUN ADP NOUN PUNCT ADP ADJ NOUN
These invaluable references can save you pounds on technical reference guides and provide the same level of accurate information as a book, only the text is at your fingertips.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	DET ADJ NOUN VERB VERB PRON NOUN ADP ADJ NOUN NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADV DET NOUN VERB ADP ADJ NOUN
