DON'T JUMP TO CONCLUSIONS.	0 1 1 1	jump to conclusions	figurative	case	VERB VERB ADP NOUN
THEY JUMP TO THESE CONCLUSIONS	0 1 1 0 1	jump to conclusions	figurative	combined-other	PRON VERB ADP DET NOUN
‘ Well, one shouldn't jump to conclusions but I can't help linking Alfred's death with Matt's.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	PUNCT INTJ PRON VERB VERB ADP NOUN CCONJ PRON VERB VERB VERB PROPN NOUN ADP PROPN
Rachel knew, however, there was no point trying to explain that she was merely going with David to see her new friends from Conway House, because it looked as if her mother, together with Nina, Greg and all the others, had jumped to conclusions and were ready to believe that what was a perfectly innocent friendship had developed into something more.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	inflection	PROPN VERB ADV ADV VERB DET NOUN VERB PART VERB ADP PRON VERB ADV VERB ADP PROPN PART VERB ADJ ADJ NOUN ADP PROPN PROPN ADP PRON VERB ADP ADP ADJ NOUN ADV ADP PROPN PROPN CCONJ ADJ DET NOUN VERB VERB ADP NOUN CCONJ VERB ADJ PART VERB ADP NOUN VERB DET ADV ADJ NOUN VERB VERB ADP NOUN ADJ
But, just to make sure you don't jump to any more ludicrous conclusions, I 'd better make it clear that I don't ever intend you to get away from me.	0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	insertion-other	CCONJ ADV PART VERB ADJ PRON VERB VERB ADP DET ADV ADJ NOUN PRON VERB ADV VERB PRON ADJ ADP PRON VERB ADV VERB PRON PART VERB ADV ADP PRON
I went on my way happy after that — indeed, happier than I had been before I had seen the strange apparitions - and it occurred to me that somebody both less logical and less imaginative would have jumped to the conclusion that what they had seen were UFOs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB ADP ADJ NOUN ADJ ADP DET PUNCT ADV ADJ ADP PRON VERB VERB ADP PRON VERB VERB DET ADJ NOUN PUNCT CCONJ PRON VERB ADP PRON ADP NOUN DET ADV ADJ CCONJ ADV ADJ VERB VERB VERB ADP DET NOUN ADP NOUN PRON VERB VERB VERB NOUN
They might jump to a conclusion from certain comments in that newspaper, and ignore others which point away from the plaintiff in question.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ VERB NOUN ADJ VERB ADV ADP DET NOUN ADP NOUN
But it is always unwise to jump to conclusions about Lebanese atrocities.	0 0 0 0 0 0 1 1 1 0 0 0	jump to conclusions	figurative	identical	CCONJ PRON VERB ADV ADJ PART VERB ADP NOUN ADP ADJ NOUN
Well I dunno I mean everybody jumps to that conclusion but	0 0 0 0 0 0 1 1 0 1 0	jump to conclusions	figurative	combined-inflection	INTJ PRON VERB PRON VERB NOUN VERB ADP DET NOUN CCONJ
She told him he was jumping to conclusions.	0 0 0 0 0 1 1 1	jump to conclusions	figurative	inflection	PRON VERB PRON PRON VERB VERB ADP NOUN
He tends to jump to conclusions with feats of illogicality worthy of Sir Nicholas Fairbairn.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	PRON VERB PART VERB ADP NOUN ADP NOUN ADP NOUN ADJ ADP PROPN PROPN PROPN
