Sarah's pride in her daughter knew no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	PROPN NOUN ADP ADJ NOUN VERB DET NOUN
Libran magnetism knows no bounds.	0 0 1 1 1	know no bounds	figurative	inflection	ADJ NOUN VERB DET NOUN
Not surprisingly, his enthusiasm knew no bounds.	0 0 0 0 1 1 1	know no bounds	figurative	inflection	ADV ADV ADJ NOUN VERB DET NOUN
Chapman's appetite for new ideas knew no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	NOUN NOUN ADP ADJ NOUN VERB DET NOUN
Benn's patriotism knew no bounds when confronted by the assertion that the French were more conciliatory than the British.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	know no bounds	figurative	inflection	PROPN NOUN VERB DET NOUN ADV VERB ADP DET NOUN ADP DET PROPN VERB ADV ADJ ADP DET PROPN
Enthusiasm to join the union knew no bounds ; the expectation of the new members knew no limits.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0	know no bounds	figurative	misc	NOUN PART VERB DET NOUN VERB DET NOUN PUNCT DET NOUN ADP DET ADJ NOUN VERB DET NOUN
That was typical of Billy Callender and his popularity at Selhurst Park knew no bounds.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	DET VERB ADJ ADP PROPN PROPN CCONJ ADJ NOUN ADP PROPN PROPN VERB DET NOUN
Ixmarity would know no bounds, if we could only learn his secret.	0 0 1 1 1 0 0 0 0 0 0 0	know no bounds	figurative	identical	NOUN VERB VERB DET NOUN ADP PRON VERB ADV VERB ADJ NOUN
Over the days that followed their hospitality knew no bounds.	0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	ADP DET NOUN ADJ VERB ADJ NOUN VERB DET NOUN
And as you know, greed knows no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	CCONJ ADP PRON VERB NOUN VERB DET NOUN
On hearing this the Queen's anger knew no bounds.	0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	ADP VERB DET DET PROPN NOUN VERB DET NOUN
John Jeffrey's popularity on Fiji knew no bounds.	0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	PROPN PROPN NOUN ADP PROPN VERB DET NOUN
Talk, talk BT's help for the business community knows no bounds.	0 0 0 0 0 0 0 0 1 1 1	know no bounds	figurative	inflection	NOUN NOUN PROPN NOUN ADP DET NOUN NOUN VERB DET NOUN
The lack of any precise boundaries between the three closely - interwoven ethnic groups leads most observers to believe that Bosnia's civil war will know no bounds, with the battle front cutting through villages and streets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	know no bounds	figurative	identical	DET NOUN ADP DET ADJ NOUN ADP DET NUM ADV PUNCT VERB ADJ NOUN VERB ADJ NOUN PART VERB ADP PROPN ADJ NOUN VERB VERB DET NOUN ADP DET NOUN NOUN VERB ADP NOUN CCONJ NOUN
