‘ He looks the other way, then?’	0 0 1 0 1 1 0	look the other way	figurative	inflection	PUNCT PRON VERB DET ADJ NOUN NOUN
Just look the other way?’	0 1 0 1 1	look the other way	figurative	dashes	ADV VERB DET ADJ NOUN
Most people around here would have just looked the other way.’	0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	combined-inflection	ADJ NOUN ADV ADV VERB VERB ADV VERB DET ADJ ADJ
City cops looked the other way, and the Cal State Angels loaned us hardware.	0 0 1 0 1 1 0 0 0 0 0 0 0 0	look the other way	figurative	inflection	NOUN NOUN VERB DET ADJ NOUN CCONJ DET PROPN PROPN PROPN VERB PRON NOUN
She was looking the other way and didn't see me.’	0 0 1 0 1 1 0 0 0 0	look the other way	literal	inflection	PRON VERB VERB DET ADJ NOUN CCONJ VERB VERB NOUN
He looked the other way, staring at TV aerials as if he was doing a project on them.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the other way	literal	inflection	PRON VERB DET ADJ NOUN VERB ADP NOUN NOUN ADP ADP PRON VERB VERB DET NOUN ADP PRON
This was a different place with upside down rules and no justice and prison officers who take the nod from criminals and look the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	identical	DET VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ DET NOUN CCONJ NOUN NOUN NOUN VERB DET NOUN ADP NOUN CCONJ VERB DET ADJ NOUN
Turn a deaf ear, look the other way.	0 0 0 0 1 0 1 1	look the other way	figurative	identical	VERB DET ADJ NOUN VERB DET ADJ NOUN
Naturally the criminals also looked the other way, it was in their interest to.	0 0 0 0 1 0 1 1 0 0 0 0 0 0	look the other way	figurative	inflection	ADV DET NOUN ADV VERB DET ADJ NOUN PRON VERB ADP ADJ NOUN ADP
Because she has not been caught either, or not so blatantly that one has had to stop pretending to look the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	identical	ADP PRON VERB ADV VERB VERB ADV CCONJ ADV ADV ADV ADP PRON VERB VERB PART VERB VERB PART VERB DET ADJ NOUN
As the number of former South Vietnamese army majors and persecuted intellectuals drifted down to infinitesimal proportions and the number of economic migrants grew, the United States looked the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	inflection	ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN CCONJ VERB NOUN VERB ADV ADP ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB DET PROPN PROPN VERB DET ADJ NOUN
I watched as they laughed behind her back, mocked her, walked out of rooms when she appeared, and looked the other way when she spoke to them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	look the other way	literal	inflection	PRON VERB ADP PRON VERB ADP PRON ADV VERB PRON VERB ADP ADP NOUN ADV PRON VERB CCONJ VERB DET ADJ NOUN ADV PRON VERB ADP PRON
As the number of former South Vietnamese army majors and persecuted intellectuals drifted down to infinitesimal proportions and the number of economic migrants grew, the United States looked the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	inflection	ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN CCONJ VERB NOUN VERB ADV ADP ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB DET PROPN PROPN VERB DET ADJ NOUN
Elsewhere ( the US ), the losses were covered up with a great deal of regulatory “ forbearance ” ( i.e., agreeing to look the other way while banks rebuild their capital by trading securities ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	look the other way	figurative	identical	ADV PUNCT DET PROPN PUNCT DET NOUN VERB VERB PART ADP DET ADJ NOUN ADP ADJ ADJ NOUN PUNCT PUNCT X VERB PART VERB DET ADJ NOUN ADP NOUN VERB ADJ NOUN ADP VERB NOUN PUNCT
Mother Francis was looking the other way.	0 0 0 1 0 1 1	look the other way	literal	inflection	PROPN PROPN VERB VERB DET ADJ NOUN
She would have had every reason to look the other way.	0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	identical	PRON VERB VERB VERB DET NOUN PART VERB DET ADJ NOUN
However, the San Franciscan police usually look the other way when drug workers swap needles, sometimes by putting clean syringes in a pram and inviting junkies to step up and feed ‘ the baby’.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the other way	figurative	identical	ADV DET ADJ ADJ NOUN ADV VERB DET ADJ NOUN ADV NOUN NOUN VERB NOUN ADV ADP VERB ADJ NOUN ADP DET NOUN CCONJ VERB NOUN PART VERB PART CCONJ VERB PRON DET NOUN
If you, if you 're telling him not to look at it, they say look the other way it's nothing to do with you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	look the other way	figurative	identical	ADP PRON ADP PRON VERB VERB PRON ADV PART VERB ADP PRON PRON VERB VERB DET ADJ NOUN PRON NOUN PART VERB ADP PRON
' No, look at it the other way.	0 0 1 0 0 0 1 1	look the other way	figurative	insertion-other	PUNCT INTJ VERB ADP PRON DET ADJ NOUN
