The shoulder belays and cricket sweaters were intended to look the part.	0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	DET NOUN NOUN CCONJ NOUN NOUN VERB VERB PART VERB DET NOUN
I thought maybe he 'd convinced Malcolm that he was overweight — which he wasn't — and Malcolm had this real thing about us looking the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	PRON VERB ADV PRON VERB VERB PROPN ADP PRON VERB ADJ PUNCT ADJ PRON VERB PUNCT CCONJ PROPN VERB DET ADJ NOUN ADP PRON VERB DET NOUN
It may pay to be early at Catford where Dromina Duke looks the part in the second race.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	look the part	figurative	inflection	PRON VERB VERB PART VERB ADJ ADP PROPN ADV PROPN PROPN VERB DET NOUN ADP DET ADJ NOUN
Flowers, a surprise call - up a month ago when the squads for the World Cup double in Poland and Norway were announced, so much looked the part as Chris Woods's stand - in that he may have leapfrogged up the goalkeeping queue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	NOUN DET NOUN NOUN PUNCT NOUN DET NOUN ADV ADV DET NOUN ADP DET PROPN PROPN ADJ ADP PROPN CCONJ PROPN VERB VERB ADV ADV VERB DET NOUN ADP PROPN PROPN NOUN PUNCT NOUN ADP PRON VERB VERB VERB PART DET VERB NOUN
This has recently reached Volume 4 and now really looks the part.	0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	DET VERB ADV VERB NOUN NUM CCONJ ADV ADV VERB DET NOUN
Harry Foy as Needle Nugent looked the part and always stayed in character.	0 0 0 0 0 1 0 1 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN ADP PROPN PROPN VERB DET NOUN CCONJ ADV VERB ADP NOUN
Black silk skirt maroon blouse her hair done up in a bun draped with gold jewellery oh talk about looking the part!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	ADJ NOUN NOUN NOUN ADP ADJ NOUN VERB PART ADP DET NOUN VERB ADP NOUN NOUN INTJ VERB ADP VERB DET NOUN
That apart Derby are unstoppable at home and it must be some consolation to Arthur Cox that the twelve million pound team he assembled at last looks the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	ADP ADV PROPN VERB ADJ ADP NOUN CCONJ PRON VERB VERB DET NOUN ADP PROPN PROPN ADP DET NUM NUM NOUN NOUN PRON VERB ADP ADJ VERB DET NOUN
Guitarist Warren De Martini looks the part — skinny, cocky, codpiece screaming, is all tart and no voice.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN PROPN PROPN VERB DET NOUN PUNCT NOUN ADJ NOUN VERB VERB DET ADJ CCONJ DET NOUN
Only seven years later the pope recovered this stone in the new tiara presented to him to make him look the part while anointing Napoleon as self - crowned Emperor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	look the part	figurative	identical	ADV NUM NOUN ADV DET NOUN VERB DET NOUN ADP DET ADJ NOUN VERB ADP PRON PART VERB PRON VERB DET NOUN ADP VERB PROPN ADP NOUN PUNCT VERB PROPN
Flabbergasted experts who overlooked Lin have been saying things like “ he just did n’t look the part. ”	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	look the part	figurative	identical	ADJ NOUN NOUN VERB PROPN VERB VERB VERB NOUN ADP PUNCT PRON ADV VERB ADV VERB DET NOUN PUNCT
Nick Cave looks the part.	0 0 1 0 1	look the part	figurative	inflection	PROPN PROPN VERB DET NOUN
‘ I just don't look the part.	0 0 0 0 1 0 1	look the part	figurative	identical	PUNCT PRON ADV VERB VERB DET NOUN
It was, she discovered, easier to look the part than to feel it.	0 0 0 0 0 0 1 0 1 0 0 0 0	look the part	figurative	identical	PRON VERB PRON VERB ADJ PART VERB DET NOUN ADP PART VERB PRON
The bride might have been educated, might have travelled, might speak English well, but she would wear gold and henna, she would dress and look the part of an Al Ain bride.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	look the part	figurative	identical	DET NOUN VERB VERB VERB VERB VERB VERB VERB VERB VERB PROPN ADV CCONJ PRON VERB VERB NOUN CCONJ NOUN PRON VERB VERB CCONJ VERB DET NOUN ADP DET PROPN PROPN ADV
But I have to look the part.	0 0 0 0 1 0 1	look the part	figurative	identical	CCONJ PRON VERB PART VERB DET NOUN
