I shall soon lose my own face and character for ever.	0 0 0 1 0 0 1 0 0 0 0	lose face	figurative	insertion-other	PRON VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV
What face could possibly be lost by Iran, doing so small a thing?	0 1 0 0 0 1 0 0 0 0 0 0 0	lose face	figurative	misc	ADJ NOUN VERB ADV VERB VERB ADP PROPN VERB ADV ADJ DET NOUN
I chase each of the monks and nuns round the canopy until all have been similarly consumed and thrown themselves over the battlements ; for who can bear to lose face?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB DET ADP DET NOUN CCONJ NOUN VERB DET NOUN ADP DET VERB VERB ADV VERB CCONJ VERB PRON ADP DET NOUN PUNCT ADP NOUN VERB VERB PART VERB NOUN
‘ You lose face if you break your word, but not if you use defenceless kids as hostages to force an injured opponent into fighting you!’	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	PUNCT PRON VERB NOUN ADP PRON VERB ADJ NOUN CCONJ ADV ADP PRON VERB ADJ NOUN ADP NOUN PART VERB DET ADJ NOUN ADP VERB NOUN
His package appealed primarily to upscale white suburbanites, but it has taken hold with other candidates and could be merged with Mr Clinton's platform without either side losing face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	inflection	ADJ NOUN VERB ADV PART ADJ ADJ NOUN CCONJ PRON VERB VERB NOUN ADP ADJ NOUN CCONJ VERB VERB VERB ADP PROPN PROPN NOUN ADP DET NOUN VERB NOUN
The vital thing was not to lose face.	0 0 0 0 0 0 1 1	lose face	figurative	identical	DET ADJ NOUN VERB ADV PART VERB NOUN
Officials ’ preoccupation with commanding respect and not losing face leads them to focus almost exclusively on China ’s achievements.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	NOUN PART NOUN ADP VERB NOUN CCONJ ADV VERB NOUN VERB PRON PART VERB ADV ADV ADP PROPN PART NOUN
Best of all Miss Martineau writes with a wry humour — of the karaoke bar that bans her as a foreigner and then welcomes her lest her Japanese host lose face ; of the popularity of sado - masochistic pornography, but without pubic hair ; of the burglar who first took his shoes off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	ADJ ADP DET PROPN PROPN VERB ADP DET ADJ NOUN PUNCT ADP DET NOUN NOUN ADJ VERB PRON ADP DET NOUN CCONJ ADV VERB PRON ADP ADJ ADJ NOUN VERB NOUN PUNCT ADP DET NOUN ADP NOUN PUNCT ADJ NOUN CCONJ ADP ADJ NOUN PUNCT ADP DET NOUN NOUN ADV VERB ADJ NOUN PART
Simple social skills like apologizing are given no place because the most important thing is not to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	ADJ ADJ NOUN ADP VERB VERB VERB DET NOUN ADP DET ADV ADJ NOUN VERB ADV PART VERB NOUN
It should have been a fairly calm journey but the car was driven by a nervous new driver who did not want to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB VERB VERB DET ADV ADJ NOUN CCONJ DET NOUN VERB VERB ADP DET ADJ ADJ NOUN NOUN VERB ADV VERB PART VERB NOUN
how to say No without losing face with their peers	0 0 0 0 0 1 1 0 0 0	lose face	figurative	inflection	ADV PART VERB INTJ ADP VERB NOUN ADP ADJ NOUN
He would have to brief Karr afterwards on how to escape from this situation, otherwise First Advocate Kung would be calling upon him for favours from here until doomsday, playing upon the Major's need not to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB VERB PART VERB PROPN ADV ADP ADV PART VERB ADP DET NOUN ADV PROPN PROPN PROPN VERB VERB VERB ADP PRON ADP NOUN ADP ADV ADP NOUN VERB ADP DET PROPN NOUN ADV PART VERB NOUN
Eventually the policeman was prepared to lose face.	0 0 0 0 0 0 1 1	lose face	figurative	identical	ADV DET NOUN VERB VERB PART VERB NOUN
To fail in such a venture, to sing out ‘ Give us an ‘ O ’ and get no response, is to lose face and effectively to be deterred from making a similar attempt in the future.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	PART VERB ADP ADJ DET NOUN PART VERB PART PUNCT VERB PRON DET ADJ NOUN PUNCT CCONJ VERB DET NOUN VERB PART VERB NOUN CCONJ ADV PART VERB VERB ADP VERB DET ADJ NOUN ADP DET NOUN
Of ~ course, the risk of losing face is not a good reason for attacking another country.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	ADP PUNCT NOUN DET NOUN ADP VERB NOUN VERB ADV DET ADJ NOUN ADP VERB DET NOUN
I kept on taking shots anyway so as not to lose face.’	0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	dashes	PRON VERB ADP VERB NOUN ADV ADV ADP ADV PART VERB PUNCT
For others it may be the opposite problem, that doing drama is ‘ a bit silly’, a childish game, and that to take part is to ‘ lose face’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	dashes	ADP NOUN PRON VERB VERB DET ADJ NOUN ADP VERB NOUN VERB PUNCT DET NOUN NOUN DET ADJ NOUN CCONJ DET PART VERB NOUN VERB PART PUNCT ADJ NOUN
When a team goes to a new area to start a new church, the fact is that they may fail, and the temptation is to fear that if they fail they will lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	ADV DET NOUN VERB ADP DET ADJ NOUN PART VERB DET ADJ NOUN DET NOUN VERB ADP PRON VERB VERB CCONJ DET NOUN VERB PART VERB ADP ADP PRON VERB PRON VERB VERB NOUN
I am convinced that many students often do not understand what is being said in teaching situations, though they become adept at pretending to, as they do not wish to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB VERB ADP ADJ NOUN ADV VERB ADV VERB NOUN VERB VERB VERB ADP NOUN NOUN ADP PRON VERB ADJ ADP VERB ADP ADP PRON VERB ADV VERB PART VERB NOUN
It is true that Beijing will adopt an unbending stance when cherished positions are under threat or there is a risk of losing face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	inflection	PRON VERB ADJ ADP PROPN VERB VERB DET NOUN NOUN ADV ADJ NOUN VERB ADP NOUN CCONJ ADV VERB DET NOUN ADP VERB NOUN
Japanese houses have dropped out as the sinking Tokyo stockmarket drags down their capital ; Nomura also lost face when the issue that it lead - managed last year for GPA, an Irish aircraft - leasing firm, fell through.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	ADJ NOUN VERB VERB PART ADP DET VERB PROPN NOUN VERB PART ADJ NOUN PUNCT PROPN ADV VERB NOUN ADV DET NOUN ADP PRON NOUN PUNCT VERB ADJ NOUN ADP PROPN DET ADJ NOUN PUNCT NOUN NOUN VERB ADV
They met in an undistinguished office block just off the Euston Road, two floors ofwhich were used as secure neutral territory for committees and meetings between Government depart - ments who would lose face by visiting the other fellow's wigwam.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	lose face	figurative	identical	PRON VERB ADP DET ADJ NOUN NOUN ADV ADP DET PROPN PROPN NUM NOUN NOUN VERB VERB ADP ADJ ADJ NOUN ADP NOUN CCONJ NOUN ADP PROPN NOUN PUNCT NOUN NOUN VERB VERB NOUN ADP VERB DET ADJ NOUN NOUN
No bonus points for losing face in front of them.	0 0 0 0 1 1 0 0 0 0	lose face	figurative	inflection	DET NOUN NOUN ADP VERB NOUN ADP NOUN ADP PRON
