The only thing she could do now was find Ana and mend a few fences.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	mend fences	figurative	insertion-other	DET ADJ NOUN PRON VERB VERB ADV VERB VERB PROPN CCONJ VERB DET ADJ NOUN
' Will we mend the fence? ' said Lee.	0 0 0 1 0 1 0 0 0	mend fences	literal	combined-inflection	PUNCT VERB PRON VERB DET NOUN PUNCT VERB PROPN
He has withdrawn his chapters from an authorised English translation due later this year, and is about to spend a month in America mending fences.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	mend fences	figurative	misc	PRON VERB VERB ADJ NOUN ADP DET ADJ ADJ NOUN ADJ ADV DET NOUN CCONJ VERB ADJ PART VERB DET NOUN ADP PROPN VERB NOUN
Stephen Morgan wants to mend fences with the council not build obstacles.	0 0 0 0 1 1 0 0 0 0 0 0	mend fences	figurative	identical	PROPN PROPN VERB PART VERB NOUN ADP DET NOUN ADV VERB NOUN
Is it too late to mend fences with your ex - wife?	0 0 0 0 0 1 1 0 0 0 0 0	mend fences	figurative	identical	VERB PRON ADV ADV PART VERB NOUN ADP ADJ NUM PUNCT NOUN
In the 1950s Khrushchev's attempt to do so by de - throning Stalin and mending fences with Tito torpedoed two client regimes, Bierut's in Poland and Rákosi's in Hungary, whose authority derived as much from venerating the first as from anathematising the second.is	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	misc	ADP DET NOUN PROPN NOUN PART VERB ADV ADP PROPN PUNCT VERB PROPN CCONJ VERB NOUN ADP PROPN VERB NUM NOUN NOUN PROPN ADP PROPN CCONJ PROPN ADP PROPN ADJ NOUN VERB ADV ADV ADP VERB DET ADJ ADP ADP VERB DET PROPN
The electoral campaigning in the constituencies, they said, had to be accompanied by a strengthened UWC and mended fences with the paramilitary organisations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	mend fences	figurative	misc	DET ADJ NOUN ADP DET NOUN PRON VERB VERB PART VERB VERB ADP DET VERB PROPN CCONJ VERB NOUN ADP DET ADJ NOUN
You won't be asked to mend fences or brand steers, but you will have the chance to watch the ranch hands — the wranglers — at work ; go riding or walking, or take a drive into town for some shopping.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	identical	PRON VERB VERB VERB PART VERB NOUN CCONJ NOUN NOUN CCONJ PRON VERB VERB DET NOUN PART VERB DET NOUN NOUN PUNCT DET NOUN PUNCT ADP NOUN PUNCT VERB VERB CCONJ NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET NOUN
Anyone interested in mending fences or burning Bill Gates in effigy should call ( 415 ) 354–4454 and come on along.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	misc	NOUN ADJ ADP VERB NOUN CCONJ VERB PROPN PROPN ADP NOUN VERB VERB PUNCT NUM PUNCT ADV CCONJ VERB PART ADP
After so long thinking that the reason for our kidnap had been bad feeling between Britain and Iran, and knowing that, before the Rushdie affair at least, fences had been mended, it was hard to believe now that it had all been a mirage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	misc	ADP ADV ADJ NOUN ADP DET NOUN ADP ADJ NOUN VERB VERB ADJ NOUN ADP PROPN CCONJ PROPN CCONJ VERB ADP ADP DET PROPN NOUN ADP ADJ NOUN VERB VERB VERB PRON VERB ADJ PART VERB ADV ADP PRON VERB DET VERB DET NOUN
Opening a debate on public spending, the Prime Minister tried to mend fences with the Tory Right by vowing that Britain would not join a single European currency in the next seven years, and ruled out any return to Europe's Exchange Rate Mechanism in this Parliament.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	identical	VERB DET NOUN ADP ADJ NOUN DET PROPN PROPN VERB PART VERB NOUN ADP DET PROPN ADV ADP VERB ADP PROPN VERB ADV VERB DET ADJ ADJ NOUN ADP DET ADJ NUM NOUN CCONJ VERB PART DET NOUN ADP PROPN PROPN PROPN PROPN ADP DET PROPN
